                          Table V.B1.--Principal Economic Assumptions
    
                                     Annual percentage change in--
    
                                         Average    Earnings as
                 Productivity     GDP      hours   a percent of     Average annual wage   Consumer
                  (Total U.S.   price     worked    total labor   in covered employment      Price
  Calendar Year      economy)   index   per week   compensation     Nominal        Real      Index
    
  Historical data:
  1960 to 1965           3.24    1.36       0.19          -0.18        3.22        1.95       1.24
  1965 to 1970           2.04    4.02      -0.66          -0.30        5.84        1.55       4.23
  1970 to 1975           2.07    6.61      -0.87          -0.49        6.58       -0.17       6.76
  1975 to 1980           0.93    7.21      -0.16          -0.33        8.88       -0.02       8.91
  1980 to 1985           1.72    5.24       0.02          -0.36        6.52        1.24       5.22
  1985 to 1990           1.33    3.14      -0.06          -0.20        4.79        0.93       3.83
  1990 to 1995           1.29    2.45       0.35          -0.11        3.54        0.49       3.03
  1995 to 2000           2.33    1.67       0.13           0.28        5.31        2.81       2.43
  2000 to 2005           2.63    2.32      -0.78          -0.38        2.69        0.19       2.49
  2005 to 2010           1.87    1.91      -0.51          -0.02        2.51        0.21       2.30
  2010 to 2015           0.52    1.65       0.43           0.13        2.94        1.30       1.61
  2015 to 2020           1.83    1.61      -0.16           0.12        2.98        1.25       1.70
    
  1969 to 1973           2.64    5.04      -0.87          -0.34        5.94        0.98       4.91
  1973 to 1979           1.06    7.54      -0.53          -0.43        8.58        0.03       8.54
  1979 to 1990           1.40    4.62      -0.09          -0.29        5.78        0.46       5.30
  1990 to 2001           1.84    2.08       0.11           0.05        4.19        1.42       2.73
  2001 to 2007           2.17    2.52      -0.49          -0.18        3.45        0.80       2.63
  2007 to 2019           1.20    1.56      -0.04           0.04        2.51        0.76       1.73
  2019 to 2024           1.76    3.79       0.13           0.22        5.27        0.94       4.29
    
      2014               0.57    1.74       0.34           0.23        3.60        2.07       1.50
      2015               0.79    0.87       0.46           0.06        3.39        3.82      -0.41
      2016               0.60    0.96      -0.50           0.10        1.30        0.32       0.98
      2017               1.27    1.82      -0.06           0.14        3.49        1.33       2.13
      2018               1.09    2.29       0.28          -0.09        3.66        1.08       2.55
      2019               1.52    1.65      -0.08           0.25        3.66        1.96       1.66
      2020               4.73    1.34      -0.42           0.19        2.79        1.56       1.21
      2021               1.55    4.55       1.15           0.67        9.03        3.58       5.26
      2022              -0.64    7.14      -0.51           0.57        5.32       -2.89       8.46
      2023               1.45    3.58      -0.29          -0.19        5.11        1.24       3.82
      2024               1.76    2.41       0.72          -0.13        4.21        1.34       2.84

