                        Table V.B1.--Principal Economic Assumptions
  
                                   Annual percentage change in--
  
                                       Average    Earnings as
               Productivity     GDP      hours   a percent of     Average annual wage   Consumer
                (Total U.S.   price     worked    total labor   in covered employment      Price
Calendar Year      economy)   index   per week   compensation     Nominal        Real      Index
  
Intermediate:
    2025               1.26    2.17       0.11          -0.12        3.97        1.47       2.47
    2026               1.47    2.07      -0.23          -0.08        4.13        1.60       2.49
    2027               1.46    2.05      -0.21          -0.08        4.03        1.59       2.40
    2028               1.56    2.05      -0.12          -0.08        4.11        1.67       2.40
    2029               1.51    2.05      -0.11          -0.08        3.94        1.50       2.40
    2030               1.56    2.05      -0.08          -0.09        3.88        1.45       2.40
    2031               1.63    2.05      -0.05          -0.09        3.93        1.49       2.40
    2032               1.63    2.05      -0.05          -0.09        3.95        1.51       2.40
    2033               1.63    2.05      -0.05          -0.09        3.96        1.53       2.40
    2034               1.63    2.05      -0.05          -0.09        3.85        1.42       2.40
    2035               1.63    2.05      -0.05          -0.09        3.72        1.29       2.40
    2036               1.63    2.05      -0.05          -0.09        3.65        1.22       2.40
    2037               1.63    2.05      -0.05          -0.09        3.66        1.23       2.40
    2038               1.63    2.05      -0.05          -0.09        3.66        1.23       2.40
    2039               1.63    2.05      -0.05          -0.09        3.68        1.25       2.40
    2040               1.63    2.05      -0.05          -0.09        3.65        1.22       2.40
    2041               1.63    2.05      -0.05          -0.09        3.63        1.20       2.40
    2042               1.63    2.05      -0.05          -0.09        3.62        1.19       2.40
    2043               1.63    2.05      -0.05          -0.09        3.60        1.17       2.40
    2044               1.63    2.05      -0.05          -0.09        3.57        1.14       2.40
    2045               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2046               1.63    2.05      -0.05          -0.09        3.53        1.11       2.40
    2047               1.63    2.05      -0.05          -0.09        3.53        1.11       2.40
    2048               1.63    2.05      -0.05          -0.09        3.53        1.10       2.40
    2049               1.63    2.05      -0.05          -0.09        3.52        1.10       2.40
    2050               1.63    2.05      -0.05          -0.09        3.51        1.08       2.40
    2051               1.63    2.05      -0.05          -0.09        3.51        1.09       2.40
    2052               1.63    2.05      -0.05          -0.09        3.51        1.08       2.40
    2053               1.63    2.05      -0.05          -0.09        3.50        1.08       2.40
    2054               1.63    2.05      -0.05          -0.09        3.50        1.07       2.40
    2055               1.63    2.05      -0.05          -0.09        3.49        1.07       2.40
    2056               1.63    2.05      -0.05          -0.09        3.50        1.07       2.40
    2057               1.63    2.05      -0.05          -0.09        3.51        1.08       2.40
    2058               1.63    2.05      -0.05          -0.09        3.52        1.09       2.40
    2059               1.63    2.05      -0.05          -0.09        3.52        1.09       2.40
    2060               1.63    2.05      -0.05          -0.09        3.53        1.10       2.40
    2061               1.63    2.05      -0.05          -0.09        3.53        1.11       2.40
    2062               1.63    2.05      -0.05          -0.09        3.54        1.11       2.40
    2063               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2064               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2065               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2066               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2067               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2068               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2069               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2070               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2071               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2072               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2073               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2074               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2075               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2076               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2077               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2078               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2079               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2080               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2081               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2082               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2083               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2084               1.63    2.05      -0.05          -0.09        3.56        1.14       2.40
    2085               1.63    2.05      -0.05          -0.09        3.56        1.14       2.40
    2086               1.63    2.05      -0.05          -0.09        3.57        1.14       2.40
    2087               1.63    2.05      -0.05          -0.09        3.56        1.14       2.40
    2088               1.63    2.05      -0.05          -0.09        3.56        1.14       2.40
    2089               1.63    2.05      -0.05          -0.09        3.56        1.14       2.40
    2090               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2091               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2092               1.63    2.05      -0.05          -0.09        3.56        1.13       2.40
    2093               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2094               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2095               1.63    2.05      -0.05          -0.09        3.55        1.13       2.40
    2096               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2097               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2098               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2099               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2100               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2101               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2102               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2103               1.63    2.05      -0.05          -0.09        3.54        1.12       2.40
    2104               1.63    2.05      -0.05          -0.09        3.55        1.12       2.40
    2105               1.63    2.05      -0.05          -0.09        3.54        1.12       2.40
