                        Table V.B1.--Principal Economic Assumptions
  
                                   Annual percentage change in--
  
                                       Average    Earnings as
               Productivity     GDP      hours   a percent of     Average annual wage   Consumer
                (Total U.S.   price     worked    total labor   in covered employment      Price
Calendar Year      economy)   index   per week   compensation     Nominal        Real      Index
  
Historical data:
    1960               1.82    1.36      -0.89          -0.38        3.31        1.57       1.71
    1961               3.27    1.06      -0.72          -0.16        1.42        0.41       1.01
    1962               3.52    1.21       0.74          -0.28        4.68        3.65       1.00
    1963               3.52    1.15      -0.58          -0.29        2.89        1.55       1.32
    1964               2.91    1.52       0.58          -0.04        4.64        3.30       1.30
    1965               2.97    1.83       0.97          -0.11        2.51        0.89       1.60
    1966               2.97    2.80       0.50          -0.64        5.69        2.77       2.84
    1967               1.60    2.90      -1.23          -0.13        5.49        2.35       3.07
    1968               3.06    4.26      -0.29          -0.16        6.39        2.13       4.17
    1969               0.65    4.91       0.01          -0.30        6.73        1.23       5.43
    1970               1.94    5.27      -2.30          -0.27        4.94       -0.71       5.69
    1971               3.75    5.08      -0.81          -0.56        4.71        0.34       4.36
    1972               2.50    4.32      -0.24          -0.51        7.27        3.71       3.44
    1973               2.37    5.48      -0.10          -0.04        6.85        0.63       6.18
    1974              -0.93    8.97      -1.47          -0.35        7.40       -3.21      10.96
    1975               2.72    9.29      -1.73          -1.00        6.71       -2.17       9.07
    1976               2.37    5.51      -0.31          -0.20        8.49        2.61       5.73
    1977               1.09    6.21      -0.08          -0.57        6.74        0.26       6.47
    1978               0.90    7.03       0.31          -0.15       12.96        4.87       7.72
    1979               0.24    8.29       0.13          -0.33        9.30       -1.92      11.43
    1980               0.09    9.06      -0.84          -0.41        7.04       -5.61      13.41
    1981               2.02    9.44      -0.60          -0.45        9.97       -0.26      10.25
    1982              -0.03    6.18      -0.98          -0.63        6.77        0.71       6.02
    1983               2.71    3.91       0.53          -0.51        4.40        1.37       2.99
    1984               2.14    3.61       0.88           0.07        6.63        3.01       3.51
    1985               1.80    3.16       0.29          -0.26        4.94        1.41       3.48
    1986               2.27    2.03      -1.06          -0.37        4.88        3.24       1.59
    1987               0.47    2.46       0.41           0.26        4.39        0.77       3.59
    1988               1.39    3.53       0.56          -0.04        5.35        1.30       4.00
    1989               0.94    3.92       0.70          -0.55        4.04       -0.71       4.79
    1990               1.58    3.76      -0.88          -0.28        5.31        0.09       5.22
    1991               1.19    3.37      -0.36          -0.59        2.88       -1.18       4.11
    1992               3.58    2.28      -0.57          -0.67        4.91        1.95       2.90
    1993               0.42    2.37       0.96          -0.13        1.95       -0.85       2.82
    1994               0.68    2.13       1.08           0.17        3.35        0.87       2.46
    1995               0.62    2.10       0.65           0.69        4.65        1.71       2.88
    1996               1.98    1.83       0.37           0.64        3.96        1.06       2.87
    1997               1.77    1.73       0.44           0.50        5.62        3.27       2.27
    1998               2.34    1.10       0.65           0.17        6.06        4.66       1.33
    1999               2.97    1.40       0.27           0.10        4.84        2.59       2.19
    2000               2.60    2.29      -1.05           0.00        6.08        2.50       3.49
    2001               2.11    2.31      -1.18          -0.36        1.92       -0.78       2.72
    2002               3.10    1.50      -1.09          -0.56        0.69       -0.69       1.38
    2003               3.28    2.00      -1.45          -0.59        2.49        0.26       2.22
    2004               2.68    2.67       0.05          -0.17        4.69        2.03       2.61
    2005               1.98    3.12      -0.24          -0.22        3.69        0.16       3.52
    2006               0.79    3.11       0.13           0.49        4.72        1.48       3.19
    2007               1.23    2.71      -0.34          -0.03        4.50        1.58       2.88
    2008               1.34    1.88      -0.77          -0.22        2.42       -1.60       4.09
    2009               3.45    0.66      -2.20          -0.57       -1.56       -0.89      -0.67
    2010               2.58    1.20       0.69           0.21        2.59        0.51       2.07
    2011               0.06    2.06       0.94           0.32        3.15       -0.39       3.56
    2012               0.42    1.87       0.06           0.37        3.33        1.21       2.10
    2013               0.76    1.73       0.36          -0.34        1.23       -0.14       1.37
    2014               0.57    1.74       0.34           0.23        3.60        2.07       1.50
    2015               0.79    0.87       0.46           0.06        3.39        3.82      -0.41
    2016               0.60    0.96      -0.50           0.10        1.30        0.32       0.98
    2017               1.27    1.82      -0.06           0.14        3.49        1.33       2.13
    2018               1.09    2.29       0.28          -0.09        3.66        1.08       2.55
    2019               1.52    1.65      -0.08           0.25        3.66        1.96       1.66
    2020               4.73    1.34      -0.42           0.19        2.79        1.56       1.21
    2021               1.55    4.55       1.15           0.67        9.03        3.58       5.26
    2022              -0.64    7.14      -0.51           0.57        5.32       -2.89       8.46
    2023               1.45    3.58      -0.29          -0.19        5.11        1.24       3.82
    2024               1.76    2.41       0.72          -0.13        4.21        1.34       2.84
