                Table V.B2.--Additional Economic Factors
                                                               Average annual
                        Annual percentage change in             interest rate
    
                  Average
                   annual
      Calendar  unemploy-     Labor       Total      Real
          Year  ment rate     force  Employment       GDP   Nominal      Real
    
  Historical data:
  1960 to 1965        5.5       1.3         1.6       5.1       4.0       2.5
  1965 to 1970        3.9       2.2         2.1       3.5       5.9       1.0
  1970 to 1975        6.1       2.5         1.5       2.7       6.7       0.0
  1975 to 1980        6.8       2.7         2.9       3.7       8.5      -0.9
  1980 to 1985        8.3       1.5         1.5       3.3      12.1       6.9
  1985 to 1990        5.9       1.7         2.0       3.3       8.5       5.1
  1990 to 1995        6.6       1.0         0.9       2.6       7.0       4.3
  1995 to 2000        4.6       1.5         1.8       4.3       6.2       3.9
  2000 to 2005        5.4       0.9         0.7       2.6       4.6       2.4
  2005 to 2010        6.8       0.6        -0.4       1.0       3.8       1.8
  2010 to 2015        7.2       0.4         1.3       2.3       2.0       0.5
  2015 to 2020        5.0       0.5        -0.2       1.5       2.0       0.5
    
  1969 to 1973        5.3       2.6         1.8       3.6       6.5       1.6
  1973 to 1979        6.8       2.7         2.4       3.0       7.7      -1.0
  1979 to 1990        7.1       1.7         1.7       3.0      10.3       5.1
  1990 to 2001        5.5       1.2         1.2       3.2       6.5       4.1
  2001 to 2007        5.3       1.1         1.1       2.8       4.5       2.0
  2007 to 2019        6.4       0.5         0.6       1.8       2.4       0.8
  2019 to 2024        5.0       0.6         0.5       2.4       2.7      -1.9
    
      2014            6.2       0.3         1.6       2.5       2.3       0.4
      2015            5.3       0.8         1.7       2.9       2.0       2.7
      2016            4.9       1.3         1.7       1.8       1.8       1.0
      2017            4.4       0.7         1.2       2.5       2.3      -0.3
      2018            3.9       1.1         1.6       3.0       2.9      -0.2
      2019            3.7       0.9         1.1       2.6       2.2       1.2
      2020            8.1      -1.7        -6.2      -2.2       1.0       1.0
      2021            5.4       0.3         3.2       6.1       1.4      -4.1
      2022            3.6       1.9         3.7       2.5       3.0      -6.5
      2023            3.6       1.7         1.7       2.9       4.1      -0.8
      2024            4.1       0.7         0.3       2.8       4.3       1.3
    
