              Table V.B2.--Additional Economic Factors
              ----------------------------------------       Average annual
                      Annual percentage change in--           interest rate
              -----------------------------------------   -----------------
                Average
                 annual
    Calendar  unemploy-     Labor       Total      Real
        Year  ment rate     force  Employment       GDP   Nominal      Real
---------------------------------------------------------------------------
Intermediate:
    2025            4.4       1.3         0.9       2.3       4.2       1.8
    2026            4.5       0.9         0.8       2.1       4.1       1.7
    2027            4.5       0.8         0.7       2.0       4.1       1.7
    2028            4.5       0.7         0.7       2.1       4.1       1.7
    2029            4.5       0.7         0.7       2.1       4.1       1.7
    2030            4.5       0.5         0.5       2.0       4.1       1.7
    2031            4.5       0.4         0.4       2.0       4.1       1.7
    2032            4.5       0.4         0.4       2.0       4.1       1.7
    2033            4.5       0.4         0.4       2.0       4.1       1.7
    2034            4.5       0.3         0.3       1.9       4.1       1.7
    2035            4.5       0.3         0.3       1.9       4.3       1.7
    2036            4.5       0.3         0.3       1.9       4.4       1.9
    2037            4.5       0.3         0.3       1.9       4.5       2.0
    2038            4.5       0.3         0.3       1.9       4.5       2.1
    2039            4.5       0.3         0.3       1.9       4.6       2.1
    2040            4.5       0.3         0.3       1.9       4.6       2.2
    2041            4.5       0.3         0.3       1.8       4.7       2.2
    2042            4.5       0.3         0.3       1.9       4.7       2.3
    2043            4.5       0.3         0.3       1.8       4.7       2.3
    2044            4.5       0.3         0.3       1.8       4.7       2.3
    2045            4.5       0.3         0.3       1.8       4.7       2.3
    2046            4.5       0.2         0.2       1.8       4.7       2.3
    2047            4.5       0.3         0.3       1.8       4.7       2.3
    2048            4.5       0.3         0.3       1.8       4.7       2.3
    2049            4.5       0.3         0.2       1.8       4.7       2.3
    2050            4.5       0.3         0.3       1.8       4.7       2.3
    2051            4.5       0.3         0.3       1.8       4.7       2.3
    2052            4.5       0.3         0.3       1.9       4.7       2.3
    2053            4.5       0.3         0.3       1.9       4.7       2.3
    2054            4.5       0.3         0.3       1.9       4.7       2.3
    2055            4.5       0.3         0.3       1.9       4.7       2.3
    2056            4.5       0.3         0.3       1.9       4.7       2.3
    2057            4.5       0.3         0.3       1.9       4.7       2.3
    2058            4.5       0.3         0.3       1.9       4.7       2.3
    2059            4.5       0.3         0.3       1.9       4.7       2.3
    2060            4.5       0.3         0.3       1.9       4.7       2.3
    2061            4.5       0.3         0.3       1.9       4.7       2.3
    2062            4.5       0.3         0.3       1.9       4.7       2.3
    2063            4.5       0.3         0.3       1.9       4.7       2.3
    2064            4.5       0.3         0.3       1.8       4.7       2.3
    2065            4.5       0.3         0.3       1.8       4.7       2.3
    2066            4.5       0.3         0.3       1.8       4.7       2.3
    2067            4.5       0.2         0.2       1.8       4.7       2.3
    2068            4.5       0.2         0.2       1.8       4.7       2.3
    2069            4.5       0.2         0.2       1.8       4.7       2.3
    2070            4.5       0.2         0.2       1.8       4.7       2.3
    2071            4.5       0.2         0.2       1.8       4.7       2.3
    2072            4.5       0.2         0.2       1.8       4.7       2.3
    2073            4.5       0.2         0.2       1.8       4.7       2.3
    2074            4.5       0.2         0.2       1.8       4.7       2.3
    2075            4.5       0.2         0.2       1.8       4.7       2.3
    2076            4.5       0.2         0.2       1.8       4.7       2.3
    2077            4.5       0.2         0.2       1.8       4.7       2.3
    2078            4.5       0.2         0.2       1.8       4.7       2.3
    2079            4.5       0.2         0.2       1.8       4.7       2.3
    2080            4.5       0.3         0.3       1.8       4.7       2.3
    2081            4.5       0.3         0.3       1.8       4.7       2.3
    2082            4.5       0.3         0.3       1.9       4.7       2.3
    2083            4.5       0.3         0.3       1.9       4.7       2.3
    2084            4.5       0.3         0.3       1.9       4.7       2.3
    2085            4.5       0.3         0.3       1.9       4.7       2.3
    2086            4.5       0.3         0.3       1.9       4.7       2.3
    2087            4.5       0.3         0.3       1.9       4.7       2.3
    2088            4.5       0.4         0.3       1.9       4.7       2.3
    2089            4.5       0.4         0.4       1.9       4.7       2.3
    2090            4.5       0.4         0.4       1.9       4.7       2.3
    2091            4.5       0.4         0.4       1.9       4.7       2.3
    2092            4.5       0.4         0.4       2.0       4.7       2.3
    2093            4.5       0.4         0.4       2.0       4.7       2.3
    2094            4.5       0.4         0.4       1.9       4.7       2.3
    2095            4.5       0.4         0.4       1.9       4.7       2.3
    2096            4.5       0.4         0.4       1.9       4.7       2.3
    2097            4.5       0.3         0.3       1.9       4.7       2.3
    2098            4.5       0.3         0.3       1.9       4.7       2.3
    2099            4.5       0.3         0.3       1.9       4.7       2.3
    2100            4.5       0.3         0.3       1.9       4.7       2.3
    2101            4.5       0.3         0.3       1.9       4.7       2.3
    2102            4.5       0.3         0.3       1.9       4.7       2.3
    2103            4.5       0.3         0.3       1.9       4.7       2.3
    2104            4.5       0.3         0.3       1.9       4.7       2.3
    2105            4.5       0.3         0.3       1.9       4.7       2.3
---------------------------------------------------------------------------
